API Name,Description,API Endpoints,Document Link
appointments,Returns appointments data from practice,https://api.sikkasoft.com/v4/appointments,https://apidocs.sikkasoft.com/#cc4375ec-0b6a-442f-846c-16fb138cd794
appointments_available_slots,Returns available appointments slots from practice.,https://api.sikkasoft.com/v4/appointments_available_slots,https://apidocs.sikkasoft.com/#6b18ec4a-cfec-4a69-976d-678d2bfb0fe4
accounts_receivables,Returns account receivables details from practice,https://api.sikkasoft.com/v4/accounts_receivables,https://apidocs.sikkasoft.com/#fcb005b7-b9ce-4c24-b585-64dd30b4a7fc
accounts_receivables_by_patients,Returns account receivables details by patients from practice,https://api.sikkasoft.com/v4/accounts_receivables_by_patients,https://apidocs.sikkasoft.com/#3ae94fe1-4b24-4e96-b227-808da170b6c5
patients,Returns list of patients in practice,https://api.sikkasoft.com/v4/patients,https://apidocs.sikkasoft.com/#67aa35de-a4d4-47b7-919f-1b58ebc75073
patient_extended_info,Returns list of patients with extended information from practice,https://api.sikkasoft.com/v4/patient_extended_info,https://apidocs.sikkasoft.com/#cce5e324-cf78-4967-a96f-28aea3af1096
veterinary_patients,Returns list of patients in practice,https://api.sikkasoft.com/v4/veterinary_patients,https://apidocs.sikkasoft.com/#cc48ea30-25df-4a74-8fb6-eb208d70a4c2
practices,Return list of all practices,https://api.sikkasoft.com/practices,https://apidocs.sikkasoft.com/#8dbb534a-d5bc-4303-aed4-33518138e6cb
transactions,Returns transactions data from practice,https://api.sikkasoft.com/v4/transactions,https://apidocs.sikkasoft.com/#2b349abb-d318-4dec-9cf8-993e03d80876
guarantors,Returns guarantors data from practice,https://api.sikkasoft.com/v4/guarantors,https://apidocs.sikkasoft.com/#5f45a4bd-a0c2-4ae2-a2c3-85c076af8fe6
contact_details,Returns contact details of patients from practice,https://api.sikkasoft.com/v4/contact_details,https://apidocs.sikkasoft.com/#a2a1a286-4535-49bf-8f2d-3adf0741a816
providers,Returns provider details from practice,https://api.sikkasoft.com/v4/providers,https://apidocs.sikkasoft.com/#236b3d2b-6608-43e4-bfa0-7087c5e871b6
guarantors_v2,Returns guarnators details from practice,https://api.sikkasoft.com/v4/guarantors_v2,https://apidocs.sikkasoft.com/#5f593c4e-3de0-469e-ab67-fb27f19d7018
practice_variables,"Returns practice variables like appointment status , patient status from practice",https://api.sikkasoft.com/v4/practice_variable,https://apidocs.sikkasoft.com/#29c44269-d5b4-4c2c-bfa3-73fd15b826f6
claims,Returns claim details from practice,https://api.sikkasoft.com/v4/claims,https://apidocs.sikkasoft.com/#9ed6fc05-1aa1-4ef2-a695-b30eae5aa678
treatment_plans,Returns treatment plans data from practice,https://api.sikkasoft.com/v4/treatment_plans,https://apidocs.sikkasoft.com/#b8852354-7080-4aaa-b3a5-cd77895e57af
insurance_accounts_receivables,Returns insurance accounts receivables data from practice,https://api.sikkasoft.com/v4/insurance_accounts_receivables,https://apidocs.sikkasoft.com/#9db4cd87-4075-4cdc-9975-6cc2ca9663a3
insurance_companies,Returns insurance company detail from practice,https://api.sikkasoft.com/v4/insurance_companies,https://apidocs.sikkasoft.com/#4e6c1453-26a2-4714-a357-39da28064b10
procedure_codes,Returns procedure codes data from practice,https://api.sikkasoft.com/v4/procedure_codes,https://apidocs.sikkasoft.com/#3c85b436-cad5-45cd-8854-a04744f73b86
payment_types,Returns payment types from practice,https://api.sikkasoft.com/v4/payment_types,https://apidocs.sikkasoft.com/#08f75d99-5043-4f12-90a3-134acdf404f6
payment_plans,Returns payment plans data from practice if practice management system storing payment plans,https://api.sikkasoft.com/v4/payment_plans,https://apidocs.sikkasoft.com/#53518438-54e5-4769-ba41-f7308a5f6bf7
reminders,Returns reminders data from practice. If remidners has been automatic setup in practice management system.,https://api.sikkasoft.com/v4/reminders,https://apidocs.sikkasoft.com/#719bdd16-3706-4f77-9b6c-8fa271f787f0
patient_contract_roll_charges,Returns patient contracts roll charges data from practice,https://api.sikkasoft.com/v4/patient_contract_roll_charges,https://apidocs.sikkasoft.com/#83b43108-fabb-4ab8-9978-a8f69faf2e23
patient_contracts,Returns patient contract data from practice,https://api.sikkasoft.com/v4/patient_contracts,https://apidocs.sikkasoft.com/#3a18d76f-5a50-4a4f-b7c8-30c837e19eea
fee_schedules,Returns fee scheudle data from practice,https://api.sikkasoft.com/v4/fee_schedules,https://apidocs.sikkasoft.com/#e691a861-62e3-4350-bf34-6512a312c7ad
referrals,Returns appointments data from practice,https://api.sikkasoft.com/v4/referrals,https://apidocs.sikkasoft.com/#1c04a970-ad0c-4b80-a9d4-6407543bca5d
appointment_statuses,Returns appointments status data from practice,https://api.sikkasoft.com/v4/appointment_statuses,https://apidocs.sikkasoft.com/#f148bf1f-f60d-40e9-a1d4-b317db33dd3c
perio_charts,Returns perio charts data from practice,https://api.sikkasoft.com/v4/perio_charts,https://apidocs.sikkasoft.com/#df71529a-d7dd-4cc6-9680-35bd86420e0e
patient_statuses,Returns patient status data from practice,https://api.sikkasoft.com/v4/patient_statuses,https://apidocs.sikkasoft.com/#f133f72f-e50a-484d-bc24-ebb7969d255d
patient_status_history,Returns patient status history data from practice,https://api.sikkasoft.com/v4/patient_status_history,https://apidocs.sikkasoft.com/#5385aa9d-a110-4a08-b051-b6d63f8d745d
clinical_conditions,Returns clinical conditions data including status and tooth surface from practice,https://api.sikkasoft.com/v4/clinical_conditions,https://apidocs.sikkasoft.com/#4a1898ea-c62e-4812-8c7a-5a044a5a28f4
clinical_note_templates,"Returns clinical note templates data including template name, category and prompts from practice",https://api.sikkasoft.com/v4/clinical_note_templates,https://apidocs.sikkasoft.com/#1ef7f804-4a22-4beb-be37-79154bdef306
guarantor_accounts,Returns guarantor accounts details from practice,https://api.sikkasoft.com/v4/guarantor_accounts,https://apidocs.sikkasoft.com/#87c6b544-604d-43fc-b154-71889bc804e4
insurance_company_details,Returns insurnace company details from practice,https://api.sikkasoft.com/v4/insurance_company_details,https://apidocs.sikkasoft.com/#c78eb0c1-82c4-495c-b24a-6f0161528206
treatment_plan_statuses,Returns treatment plans status data from practice,https://api.sikkasoft.com/v4/treatment_plan_statuses,https://apidocs.sikkasoft.com/#0a018d60-4fe3-455a-b4c0-d52783584941
prescriptions,Returns prescriptions data from practice,https://api.sikkasoft.com/v4/prescriptions,https://apidocs.sikkasoft.com/#8ef5e404-fdc4-42a3-9c74-fbb32df03626
insurance_plan_coverage,Returns insurance plan and coverage data from practice,https://api.sikkasoft.com/v4/insurance_plan_coverage,https://apidocs.sikkasoft.com/#9eb700ba-510e-4b3d-85b8-1c954a971cdd
employers,Returns employers data from practice,https://api.sikkasoft.com/v4/employers,https://apidocs.sikkasoft.com/#c716d263-2937-4d92-a421-3e5a1bd3532d
drugs,Returns drugs data from practice,https://api.sikkasoft.com/v4/drugs,https://apidocs.sikkasoft.com/#6c88fd9b-cf27-4ee9-8607-f89b26c41656
claim_descriptions,Returns claims data from practice,https://api.sikkasoft.com/v4/claim_descriptions,https://apidocs.sikkasoft.com/#d119bc8a-2924-44fe-9ccd-51cb4469bf5a
insurance_estimate,Returns insurance estimate data from practice,https://api.sikkasoft.com/v4/insurance_estimate,https://apidocs.sikkasoft.com/#01d64784-8122-4742-a025-5001471631b8
lab_cases,Returns lab cases data from practice,https://api.sikkasoft.com/v4/lab_cases,https://apidocs.sikkasoft.com/#80cd43f1-3ad3-4c4c-acb7-6ad003aed936
lab_details,Returns lab details from practice,https://api.sikkasoft.com/v4/lab_details,https://apidocs.sikkasoft.com/#cc19bc45-d548-4559-bd1f-b3d0cf39dddd
lab_panels,Returns lab panels information from practice,https://api.sikkasoft.com/v4/lab_panels,https://apidocs.sikkasoft.com/#3558325f-63d3-4f4b-84ef-4b750f3379b0
lab_profiles,Returns lab profiles information from practice management system,https://api.sikkasoft.com/v4/lab_profiles,https://apidocs.sikkasoft.com/#a441636c-cc57-43fe-a3ef-d7631bb7336b
lab_sub_profiles,Returns lab sub profiles information from practice management system,https://api.sikkasoft.com/v4/lab_sub_profiles,https://apidocs.sikkasoft.com/#61641097-b63e-4f1e-982a-0e3ec75308b4
lab_profile_invoice_items,Returns lab profile invoice items information from practice management system,https://api.sikkasoft.com/v4/lab_profile_invoice_items,https://apidocs.sikkasoft.com/#9666ecad-cef6-483a-a924-970c5e5a46f1
lab_requests,Returns lab requests information from practice management system,https://api.sikkasoft.com/v4/lab_requests,https://apidocs.sikkasoft.com/#0847c607-38fb-4dd6-bc98-1a5ea8cf1a08
medical_history,Returns patient medical history from practice,https://api.sikkasoft.com/v4/medical_history,https://apidocs.sikkasoft.com/#f4130d94-1c90-4846-befb-69bff5796102
shelter_patients,Returns shelter patients data from practice ( applicable to veterinary practices. Shelter pets referred as patients here),https://api.sikkasoft.com/v4/shelter_patients,https://apidocs.sikkasoft.com/#8dee5feb-1826-429f-b26e-b3a39e7a0eec
subscribers,Returns subsribers data from practice,https://api.sikkasoft.com/v4/subscribers,https://apidocs.sikkasoft.com/#4427a4db-e78b-4067-94cd-2a60c94809a4
